UUID,10b_OpenEnds,10b_A,10b_B,10b_B1,10b_B2,10b_B3,10b_C,10b_D,10b_E,10b_F,10b_G,10b_H,10b_I,10b_J,10b_K,10b_L
1834dd8b-fc3b-4f3e-82bf-b1695dd19340,Because I'm afraid that my family 's life will be in danger ,,1,,1,,,,,,,,,1,,
bec081aa-aad2-4524-b5b0-4bf7950619bc,"Because salaries are not equal, 70 percent of men and 30 percent of women should be eligible",,,,,,,,,,,,,,,1
445a1d78-0a18-4d5a-91c0-69e6924dca6e,"Because when women are liberated, it becomes very strange that Islam does not say that there should be some women, some that Islam says and no extremism, and excess is what the Shari'a says. ",,,,,,1,1,,,,,1,,,
d4eeabdb-2f36-4cba-9c5c-d6cd53a93f39,"Because women's rights are not a priority in the current context, the lives and property of Afghans are at stake. First, measures must be taken to protect their lives. ",,1,1,1,,,,,,,,,,,
46cbfe5e-7bb1-4c08-aa25-1a2b96fe9ea2,"For the sake of human rights, it has never been realized in this country. ",,,,,,,,,,1,1,,,,
13fe7f63-ea1b-4d1e-9cdb-c14f0ad6d588,"Given that the Islamic Emirate of Afghanistan is a nascent and newly formed government, it is possible that a clear and real heart among women's rights may be violated. ",,,,,,,,,,1,,,,,1
e9299c8d-53a2-47d2-af0a-fd36d185255d,I do not know women are useful to the government structure ,,,,,,,1,,,,,,,,
0e64e802-459e-4a8e-96e9-cca61f76463d,It's all a show war ,,,,,,,,1,,,,,,,1
c4cb6aaa-46b4-4995-bb65-5ca1ce020a67,"The issue is not women's rights, but the border of the United States and other powers ",,1,,,1,,,1,,,,,,,
1f92a013-990e-4496-8365-557d0703e490,"The proverb asked a person what his name was. She told him that God ... and he didn't show it to Dad, so the Taliban didn't show it to Dad. In the early days, they started beating him. . Another important point is that the West and the Taliban have started a political war under the pretext of war ",,,,,,,,1,,,,1,,,1
cd2527b9-9c8f-4ab6-bbdb-8c0db04e2262,"There is no definition of human rights, which group is human rights? ",,,,,,,,,,,,,,,1
b0868316-5319-42c6-b468-15d3149b74a4,Why Afghanistan is a country that has been fighting political and economic wars for more than 3 decades ... Test,,,,,,,,,,,,,,,1
013d2caa-79c7-4113-9e3c-508c3b4cffee,Don't want ,,,,,,,,,,,,,,,1
81f7a483-0fc6-4a58-9da7-55da89004113,I'm afraid to comment ,,,,,,,,,,,,,,,
b7cd7e06-5019-4106-a2d1-900c7b9acf70,"According to the previous and current governments, none of the international community has kept its promises to the people ",,,,,,,,,,1,,,,,
043b9786-5c98-421f-9c59-accee8da6cbf,Afghanistan has deteriorated so much that Taliban militants are oppressors. ,,,,,,,,,,1,,,,,
a6c26bca-5e53-4605-94f0-1b252da79294,Afghanistan's economy is at a standstill. There are atrocities. There are no jobs. People are starving. Children and young people are missing. ,,1,1,1,,,,,,,,,,,
46afb36f-be67-44b0-a332-e0086a14ade8,"All that matters to us is the rights of women and all of humanity that Islam has given, not the infidel world ",,,,,,,,,,,,1,,,
1ccadd8c-97df-435e-b230-b104d26158ae,"am an 18-year-old person because I do not understand political issues, it is better not to comment",,,,,,,,,,,,,,1,
72577745-2be9-4877-b11d-19a7a588c51c,"am the bloodthirsty state of Afghanistan. No country has helped the Afghans, and the government is in the hands of the Taliban. The poor government of the poor people. ",,,,,,,,,,1,,,,,
81337c05-9f62-446a-8d76-43c69f1b0769,"As long as Pashtuns are in power, violence will continue. The government will be based. It will be separated from religion ",,,,,,,,,,1,,,,,
c6200d78-6b0a-4492-8006-65d2415d8097,"Because a missing woman or girl can work in a limited number of places, not in government ",,,,,,1,,,,,,,,,
41e89e7d-cf39-469f-9985-79bb9048325d,"Because Afghans are doing too much for what is not in the interest of Islam, Afghan society and the United Nations, it is better to be without theory. ",,,,,,,,1,,,,1,,,
92ab663f-fd85-48a0-a4ba-92321ff92487,Because Afghans have always been deceived into the issue of human rights Human rights have always been violated in all parts of the country where we live. ,,,,,,,,1,,,1,,,,
c8fa131a-3cbb-4f28-b37f-84d1a1fc3574,Because all countries are moving away from Afghanistan and do not want to help Afghanistan ,,,,,,,,,,1,,,,,
363a35fc-8819-4595-bca8-89782f98e16d,Because all the rights of citizens are violated ,1,,,,,,,,,,,,,,
3f488776-6d62-4932-a0ba-5c6c545bb263,"Because although not all schools are open, some are open in the province and the rights of women can not be justified ",,,,,,1,,,,,,,,,
1a956018-3c65-41c5-a8c4-416dabe3590d,"Because corruption and the US presence in Afghanistan have hurt the Afghan women's community, and it takes more time for women to learn Islamic education better. ",,,,,,,,1,,,,,,,
6090c38f-3718-4714-8c0e-76c521eea8f3,"Because during the previous government, the republic, women's rights were not guaranteed ",,,,,,,,,,,1,,,,
2d01a07f-0452-4958-9b7d-92b67ec9d3db,"Because every country came to Afghanistan thinking about its own interests, not Afghanistan. Afghanistan is one of the countries with the most untapped mines, and every country has to know how to use Afghanistan's resources. Shows the desire to use Afghanistan in different ways and strengthen your base in Afghanistan. Thanks to Omidullah Safi. ",,,,,,,,1,,,,,,,
745c1752-43a5-4f61-9aef-afa23619ce66,"Because every factor reduces the progress of the country towards progress. In particular, prevent women from studying, which is a hypothetical right from God. Every woman in various sectors can cooperate with her government for the development of the country. The only priority of a country is not security and work, but also knowledge. ",,,,,,,1,,,,,1,,,1
544fd29f-0cc4-4941-ac07-98df2aba5d1a,"Because for several years, human rights for women have not been active ",,,,,,,,,,1,1,,,,
440a31c8-628a-4ce1-8b3b-5f66b794f5c1,Because he has his own Sharia law that Islam has given Sharia full support and will be given ,,,,,,,,,,,,1,,,
b91accc2-5967-417e-b727-5e2a291507d9,"Because here, in addition to women, genocide and ethnic and religious cleansing continue to the highest level. ",1,1,,,1,,,,,,,,,,
8fc24b0f-aa00-4f84-bd08-c7caa44db034,Because human rights and women can not be the solution to the stalemate in Afghanistan ,,1,,,,,,,,,,,,,
f54cc64b-d939-45b3-bb6f-05528aaec45f,"Because human rights are not the only rights of women, rights such as the right to freedom of expression, the right to work and, most importantly, the right to participate in decisions and decisions remain on the Taliban's agenda. ",1,1,1,,,,,,,,,,,,
688cfc32-1383-4d93-aece-07c5f52a0a4c,"Because human rights did not do any work or service for rural women, only four women with dual passports got everything, human rights did not do their job properly. ",,,,,,,,,,1,1,,,,
4ac283ab-52e8-49eb-92e5-7d83dc3d0d96,Because human rights have lost their meaning ,,,,,,,,,,1,,,,,
0ef557f3-efae-44a9-89db-1f2cfa44191c,Because human rights is a project ,,,,,,,,,,,,,,,1
d1b966f6-9e40-44a2-94e0-98910dba492a,"Because I am not in a country, I will answer your questions correctly with your apologies ",,,,,,,,,,,,,,,1
da1b5698-66dd-4ba7-a66a-f44a877f1ef3,Because I can breathe a sigh of relief before God knows what to do. ,,,,,,,,,,,,1,,,
d85dafac-30d2-4388-b546-8316d53fba30,Because I did not understand the meaning of this question ,,,,,,,,,,,,,,1,
e19cba0a-5a50-4730-8832-196632ffca99,Because I do not know how true this assumption is ,,,,,,,,,,,,,,1,
996a7b30-94e6-4225-904e-327ed56266b6,"Because I do not know what they are still planning under the pretext of the international community, because we have seen it in the past ",,,,,,,,1,,,1,,,,
ab8a5148-c818-4cc5-b314-5de375ff16ba,Because I do not know what will happen to my future and my country ,,,,,,,,,,1,,,,1,
7c26d4d0-e805-49c1-b83b-7fe393b15217,Because I do not know what you mean by human rights? ,,,,,,,,,,,,,,1,
392d41e9-024a-4f70-9bb8-8a9a3be7938a,Because I have no information ,,,,,,,,,,,,,,1,
3a7529f4-c6da-44c7-85d8-57e9f4ae772f,Because I have not seen any human rights ,,,,,,,,,,1,,,,,
3c0f7093-1617-492a-8340-95fdd642afd6,Because I no longer have confidence in the world ,,,,,,,,,,1,,,,,
4c77565a-33b5-4e5a-80b4-51bfbecc492b,Because I remained indecisive about this question because I can't answer this question in the current situation ... ,,,,,,,,,,,,,,1,
20a5017b-ad8c-41c6-84f0-4b9895629f7a,Because I want a comprehensive Islamic state. ,,1,,,1,,,,,,,1,,,
20206da6-aa73-473d-a240-f483be0d399d,Because if Shariah is allowed then it is not valid ,,,,,,,,,,,,1,,,
d6b96c89-9562-4414-b1be-cdbc6505d9c2,"Because in a traditional and religious society, human rights that currently prevail in the world are contrary to our religious and cultural values. On the other hand, one of the important issues in recognizing the Taliban, which I think reduces the problems in Afghanistan by recognizing them, depends on this issue (human rights) of women. ",,,,,,,1,,,,,1,,,1
875fd366-7a42-427e-afcd-b90028ddbe20,"Because in addition to these, there are other tasks, such as entrusting work to workers, education, economic growth ....... must be undertaken. ",,1,1,,1,,,,,,,,,,
ac56d8e1-cd44-4776-b734-26325aea594d,"Because in eight months, the fate of women was not known ",,,,,,,,,,,,,,1,
22da7060-3185-428b-9e35-1464318a893a,"Because in the meantime the rights are very much lost, including the children of children with disabilities, why the international community does not pay attention to them, that is, there are other points to agree with the Taliban, why they do not focus on him because their goal is not to solve people's problems. Until the promise of being pureeed in diameter ",1,1,,,1,,,1,,,,,,,
46313b5b-826a-4c09-8649-4a2678343053,"Because Islam has given the best rights to human beings. If I do what Islam says, these human rights that the West says today are basically human rights. If we really study Islam, you will see how human rights Islam has given to human beings. Is ",,,,,,,,1,,,,1,,,
8d3b1e92-61ab-4f4f-8918-8817f83e410e,Because Islam has stated its rights for women in the Qur'an. ,,,,,,,,,,,,1,,,
0f0add0e-e27e-4198-b9a5-e790c8288a02,"Because Islam says that a woman should be kept in the house. If it were not for this, the husband would not have been deprived of these rights in Islam. Work in the stairs. ",,,,,,1,,,,,,1,,,
bc04f665-2030-4a96-b558-de33857dab88,Because Islamic law is different from human rights law ,,,,,,,,,,,,1,,,
421f6bc4-3502-4e65-9b58-17030d3858af,"Because it is Afghanistan, no leadership can be trusted ",,,,,,,,,,1,1,,,,
289b9d10-5c15-403d-9857-70e6ffc61c7f,Because it is insecure ,,,,,,,,,,,,,,,1
ba53390e-3dc4-46f5-b736-4683e2888f19,Because it is not clear ,,,,,,,,,,,,,,1,
2edf6577-16c4-4305-a249-d47524aa548e,"Because it is not only the rights of women that are at stake, the rights of all Afghan citizens must be respected. They must live in a peaceful environment. ",1,1,,1,,,,,,,,,,,
222b92cd-24de-45ce-98e7-046eba263f5f,"Because it is only in name, not in action ",,,,,,,,,,1,,,,,
3419d9a8-b913-4902-88a6-e0203effd896,Because it is really a right that is considered necessary or not ,,,,,,,,,,,,,,,1
cdb343da-38e3-4d51-b940-3a6592ec5517,Because it is related to Islam and hijab is obligatory in Islam ,,,,,,,,,,,,1,,,
646d744b-a681-4d2d-8140-d7b143440e9b,Because it is the prerogative of the authorities ,,,,,,,,,,1,,,,,
c12832c4-157d-4153-9391-da2ad2889586,Because khalat is a little harab ,,,,,,,,,,,,,,,1
81e318fe-8c1e-46bf-82f7-c32b99e42527,Because men's rights are also included ,1,,,,,,,,,,,,,,
ac4aa075-4be4-4abd-a3a1-fa9d6888f743,Because neither the Taliban nor the top women can be trusted at this time ,,,,,,,,,,1,,,,,
a23a56ab-0ee5-4f06-8259-d64bbcd6f0bd,"Because of the kind of rights that Islam has given. That kind of right was exploited by women in Afghanistan. But the point here is public education! Even if the women remain silent, they will be treated like animals by the people, the cause of which is ignorance. ",,,,,,,1,,,,,1,,,1
faf27e65-0ac2-4df7-89d8-036a960f0bd2,"Because of the rights that Islam has given to women, women have more demands than that ",,,,,,,,,,,,1,,,
34f9a354-acb8-47f4-bde8-768ec206f876,Because only one issue cannot be resolved ,,1,,,,,,,,1,,,,,
3b29cac1-6790-48ad-9eee-2a4935317114,"Because our country is an Islamic country and Islam has given women freedom within the framework of Islam, most women in most provinces are still illiterate and the international community wants freedom for Afghan women in Europe and Afghanistan so that even women themselves become foreigners. And there are still as many women as there are who think that they are trying to burn themselves, and I am not sure about that. ",,,,,,,,1,,,,1,,,
a4473527-1798-4955-8b76-d2148db83630,"Because our people are now in dire need of food, its prices are high and we are not paying attention to other issues of hunger. ",,1,1,,,,,,,,,,,,
d1b48431-19ad-401c-b145-7f28cc6d7eaa,Because she is a woman. ,,,,,,1,,,,,,,,,
ecefc73b-1894-4b68-b514-485605a6a1d6,"Because she is not the only human woman, why do I mention only the name of a woman when we talk about human rights? ",1,,,,,,,,,,,,,,
a576f087-843e-4d2e-bf35-258d84d49fa9,"Because some human rights, Islam is against the law ",,,,,,,,,,,,1,,,
2bfdda8d-103a-4905-98f2-da97d1127ae1,Because such a thing is not possible ,,,,,,,,,,1,,,,,
d0a02bb2-57bd-404d-bbb6-3370aed64560,"Because the current situation dictates that you should be neutral in many matters, if not ... ",,,,,,,,,,1,,,,,
a96463cd-1e4d-41ae-8e91-d8802f0882f9,Because the current situation in Afghanistan does not allow women to demand their rights ,,,,,,,,,,1,,,,,
e3ed24ac-b3b4-4325-a14b-6afe4f284487,Because the current situation is not timely ,,,,,,,,,,1,,,,,
ef7a6050-0046-4856-8f2f-79d831d6a808,"Because the economic situation of the people in our country is very bad, I call on the international community to address this situation ",,1,1,,,,,,,,,,,,
09ae0b5c-7455-4db8-b054-dde6f862905d,Because the fragmented and primitive society of Afghanistan has changed the fate of women ,,,,,,,,,,1,,,,,
7556f25f-87ba-4503-a7e7-10e9390e4a36,Because the future of the Afghan people is currently unknown ,,,,,,,,,,1,,,,,
c527cbe0-0e64-4070-af32-579a69d852b4,Because the government does not want to give freedom like the rest of the world ,,,,,,,,,,1,,,,,
c3086dde-327f-4767-b962-1c518bb91126,Because the government is not universal ,,,,,,,,,,1,,,,,
ff09cb07-99ab-41e2-92be-09d47f87c20c,"Because the human rights that Islam has given have been fully given in Afghanistan, God willing ",,,,,,1,,,,,,1,,,
22aa6a8e-a378-4a74-aa5b-8be01be82789,"Because the international community and the human rights organization are under the control of the United States and do not do anything without the will of the United States, and the United States does something that is in its own interest. ",,,,,,,,1,,,,,,,
dfc99cc3-40d6-4955-bc93-071e9b9b92ad,"Because the international community is called to think about rights, their goal is to weaken Islam. They want to remove the hijab from our women. ",,,,,,,,1,,,,1,,,
5d3d270d-44b2-43f7-8648-d38aac0ca7de,"Because the international community that made the law was in some ways at odds with Islam, and so was the Taliban. ",,,,,,,,1,,,,1,,,
8ab0739b-a761-4bcf-a0e3-f3ecee7835fa,Because the leaders of the Taliban terrorist group are not masters of any of their own talk and do not give women any rights in any way. ,,,,,,,,,,1,,,,,
8dbb257d-0494-4c70-8113-24e02c7a7957,Because the majority of them are ineffective and their function is in doubt as to whether or not they can ,,,,,,1,1,,,,,,,,
e9f2be9c-48c6-4c8f-8b99-d6073c95b572,Because the names of human rights and women's rights are abused ,,,,,,,,,,1,,,,,
56cbb1f9-df1c-475f-814c-ea214068144a,"Because the priority now is to end poverty, not women's rights ",,1,1,,,,,,,,,,,,
9bf273a9-40f0-41d2-bcc9-ce5d89a5f2d4,Because the religion of Islam has given full rights to women ,,,,,,1,,,,,,1,,,
0629adc8-e1f5-4fe2-af9f-31c3ee2568d1,Because the root of corruption in a country lies in the moral corruption of women. Until the law on men and women is applied equally. No society will be responsible ,1,,,,,,,,,,,,,,
504b4c82-74f6-4e53-9a73-70e04bb0ee28,Because the situation is not in the same situation. ,,,,,,,,,,,,,,,1
c3dd34ee-bdd9-4af3-8477-197ffd5b0ff3,"Because the Taliban also do things that are very bad and have bad effects, but still we are Muslims, so some of their words are a bit out of place. ",,,,,,,1,,,1,,1,,,
29fde473-c99e-4561-88d7-066d10717f62,Because the Taliban are an authoritarian group of a certain ethnic group and a fanatical group of fascists ,,,,,,,,,,1,,,,,
44374028-6954-462c-ab9e-7a21a26b8272,Because the Taliban are committed to many decisions ,,,,,,,,,,1,,,,,
eb578c36-effc-4b91-ac6a-1564feaa47ae,"Because the Taliban are the only ones who do not want to respect human rights in Afghanistan, they must do better to protect the society and its people from harm. ",,,,,,,,,,1,,,,,
dc2c88ff-fc0f-454c-9dce-a58fef80e83b,"Because the Taliban do not adhere to the values of human rights and women's rights, they do not accept democracy and freedom of expression, they consider them polytheists and infidels. ",,,,,,,,,,1,,,,,
90e4524e-2c76-4a6f-b05f-de4314deb69e,"Because the Taliban do not give women the right to education, the Taliban believe that women should be imprisoned at home and never study, and should not participate in the government process. ",,,,,,,,,,1,,,,,
7146c0ac-3102-4cd0-a227-6d098ef1d457,"Because the Taliban have recently silenced the voices that people are forced to be silent, it means that this silence has become a habit and the international community has not been able to do anything. And he has no idea what is going on. The Taliban, who initially forbade girls from going to school, were very noisy, but now it has become normal for everyone. That is, the Taliban want to make this their habit in society ... ",,,,,,,,,,1,,,,,
d4ce2730-dee4-4951-8543-701b61bc86c0,"Because the Taliban leaders are very smart and knowledgeable people, they know everything ",,,,,,1,,,,,,,,,1
914fee1f-45bd-43d7-8d74-54ab0a91c9fc,Because the Taliban want to eliminate women ,,,,,,,,,,1,,,,,
e8429b07-601d-4e78-a92c-e293836eb68f,Because the United States wants to pursue its own interests and has made women's rights a tool ,,,,,,,,1,,,,,,,
496aa8dc-d532-4319-ad2f-7db02bc8c43e,"Because the wife of God Almighty has created ten houses, the man of the ten bazaars is right that the right to equal work is equal to the size of a woman who works in ten places. ",,,,,,,,,,,,1,,,1
942a1418-cebc-468f-b854-5843f3920330,Because the world is violating its human rights ,,,,,,,,,1,1,,,,,
c291f44c-9431-4a25-af5c-7123b20948eb,"Because the world wants to bring such freedom in an Islamic land that the nation does not like, like becoming a woman without hijab, sitting with non-mahram people ... ",,,,,,,,1,,,,1,,,
f65d1472-486a-46fb-ba46-1370b4aa2f20,"Because there are other priorities, one of these priorities is women. Work, education, freedom of expression and choice, social freedom, ethnic employment, etc. ",,1,1,,1,,,,,,,,,,
dce49ba7-c099-43da-957a-bdd2303e2aea,Because there are other very important priorities that need to be addressed ,,1,,,,,,,,,,,,,
fd3e5336-441c-497e-8f11-b3c93b4604db,Because there are so many types it's hard to say ,,,,,,,,,,,,,,1,
6a281d95-d549-4efb-959d-48ae22cda4db,Because there is no organized government ,,,,,,,,,,1,,,,,
95615f3b-cf48-4633-87f1-e2f6d467ac98,Because there is only one Islamic system and democracy is gone. ,,,,,,,,,,,,1,,,
09eb7f9a-9dae-4b1e-a9cd-cf7cbbb36b7f,"Because they are all money, but I say that the right should be given in an Islamic way ",,,,,,,,,,,,1,,,
7b322d48-25e6-4866-a789-b12c856e3489,Because they have no opinion on women ,,,,,,,,,,,,,,,1
9b2fdfaf-df93-45b4-8b21-52771085beba,Because this decision should be made in the light of the culture of an Islamic country and in the light of Quran and Prophetic Hadiths. ,,,,,,,,,,,,1,,,
97249b48-855b-44d7-bd14-e48d96ff2437,Because this issue should be viewed from a Shariah point of view and not from a personal point of view ,,,,,,,,,,,,1,,,
20587085-6356-4afc-807a-5b054d3b0015,Because those who are talking to us about human rights do not know their own human rights if they are shouting for human rights it is for democracy and not for the survival of human beings how many Americans have killed so many innocent Afghans. ,,,,,,,,1,1,,,,,,
794951a3-3b50-45a8-858c-5e4185317128,Because we want to kill the human rights of the West ,,,,,,,,1,,,,,,,
4872c744-1d41-4046-a8b4-59773513fc62,"Because with the traditional society we have, this issue will never be a priority for governments, even in the last 20 years, women's rights have never been a priority for the government.",,,,,,,,,,1,1,,,,
9625a072-b7c7-4613-99b1-588f8d277727,Because woman is an imperfect creature and they believe in everyone's chats ,,,,,,1,,,,,,,,,
9a7ffe69-35d7-4289-99c7-e20d7f626b21,Because women already had a lot of competence and misused it ,,,,,,1,,,,,,,,,
f4b5a7c4-3481-4c3a-94f1-3015763babc8,Because women do not participate in the traditional society they want freedom but Afghanistan is an Islamic country it does not allow democracy ,,,,,,1,,,,,,1,,,
6b979566-7759-4158-9943-344014bbb2e8,Because women do not wear Islamic hijab ,,,,,,,,,,,,1,,,
63e9e550-f863-4ae1-8f21-86c8b860cad3,Because women's rights are not so much ,,,,,,1,,,,,,,,,
036673aa-9620-40c0-85c5-c4ac2adb5c7a,"Because women's rights do not matter to the West and the East. If the rights to the East and the West mattered, killing thousands of innocent people in several Islamic countries would not be accompanied by women and children. Human rights are currently used as a means to an end for intelligence purposes ",,,,,,,,1,1,1,,,,,
13c8206f-c8a1-453b-b23e-eb0b78acdcf2,"Because you are using women's rights instead of women's rights. All international women, especially European and American women, complain of sexual harassment but cannot explain it. ",,,,,,,,,1,,,,,,1
8727f384-eaa9-4d08-ad1a-a00d26ded670,Belief has been lost because lies have been told to the common people ,,,,,,,,,,1,,,,,
